,TCP UL/DL (Bytes),Avg RTT UL/DL (ms),Avg Bearer UL/DL (kbps),clusters
66,12411.0,91.0,39270.0,0
67,21569572.935152996,35.32576582180065,104.0,0
68,21569572.935152996,92.0,77.0,0
69,9084455.0,75.0,99352.0,0
70,21569572.935152996,26.0,21.0,0
71,21569572.935152996,35.32576582180065,74.0,0
72,21876033.935152996,76.32576582180064,13902.0,0
73,3139231.0,95.0,65290.0,0
74,51319.0,55.0,35233.0,0
75,769527.6648110661,42.0,20579.0,0
76,21569572.935152996,35.32576582180065,113.0,0
77,21569572.935152996,38.0,81.0,0
78,2007489.0,75.0,22810.0,0
79,905619.6648110661,33.0,133632.0,0
80,43139145.87030599,70.6515316436013,249.0,0
81,21569572.935152996,46.0,75.0,0
82,21569572.935152996,35.32576582180065,111.0,0
83,21569572.935152996,35.32576582180065,15.0,0
84,21569572.935152996,28.0,84.0,0
85,21569572.935152996,40.0,108.0,0
86,21569572.935152996,35.0,94.0,0
87,765394.6648110661,86.0,152.0,0
88,23112471.264775127,134.32576582180064,25731.0,0
89,20823632.27034193,291.0,165.0,0
90,15530687.0,751.0,11858.0,0
91,21569572.935152996,238.0,6292.0,0
92,43139145.87030599,60.0,191.0,0
93,21569572.935152996,39.0,88.0,0
94,22342715.59996406,54.0,36318.0,0
95,595913.0,126.0,34385.0,0
96,23457985.935152996,88.0,55116.0,0
97,21569572.935152996,20.0,171.0,0
98,314489.0,511.0,548.0,0
99,21569572.935152996,35.32576582180065,129.0,0
100,21569572.935152996,35.32576582180065,111.0,0
101,21569572.935152996,28.0,108.0,0
102,21569572.935152996,29.0,129.0,0
103,21569572.935152996,53.0,93.0,0
104,21761879.935152996,124.0,127368.0,0
105,21569572.935152996,27.0,96.0,0
106,21569572.935152996,29.0,161.0,0
107,21630734.935152996,83.32576582180064,136699.0,0
108,2409519.0,249.0,9327.0,0
109,21569572.935152996,34.0,119.0,0
110,20821884.27034193,377.0,87.0,0
111,21569572.935152996,35.32576582180065,81.0,0
112,818205.6648110661,59.0,4251.0,0
113,43139145.87030599,79.0,544.0,0
114,21569572.935152996,51.0,152.0,0
115,816328.6648110661,75.0,10599.0,0
116,43740434.87030599,114.0,41101.0,0
117,22330519.59996406,76.0,3764.0,0
118,21569572.935152996,35.32576582180065,15.0,0
119,21569572.935152996,84.0,60.0,0
120,21569572.935152996,30.0,114.0,0
121,64708718.80545898,141.0,336.0,0
122,766750.6648110661,36.0,54257.0,0
123,24604893.935152996,121.0,76477.0,0
124,21569572.935152996,65.0,87.0,0
